Model:EB086

Component,Xpos,Ypos,Zpos,Xdim,Ydim,Zdim
7segquad,27.909193,19.479151,5.600000,50.400000,19.000000,8.000000
Audio Socket,-38.000767,-52.592180,4.500000,12.200000,14.400000,6.000000
EB086 PCB,0.175500,-0.000000,0.800000,114.351001,114.000000,1.600000
Jumper 2x1,47.622788,36.980163,5.870000,5.080000,2.540000,8.540000
Jumper1,-34.012964,-29.771159,5.870000,5.080000,7.620000,8.540000
Jumper2,-33.403352,15.364731,5.870000,7.620000,5.080000,8.540000
LCD PCB,16.147058,-12.334022,5.300000,80.000000,36.000000,1.600000
LCD Screen,16.723923,-13.209022,8.700000,71.000000,25.250000,5.200000
led1,36.599164,-36.425982,2.550000,3.500000,2.800000,1.900000
led10,28.598150,35.735581,2.550000,3.500000,2.800000,1.900000
led11,20.597136,35.735581,2.550000,3.500000,2.800000,1.900000
led12,12.596122,35.735581,2.550000,3.500000,2.800000,1.900000
led13,4.595108,35.735581,2.550000,3.500000,2.800000,1.900000
led14,-3.405906,35.735581,2.550000,3.500000,2.800000,1.900000
led15,-11.406920,35.735581,2.550000,3.500000,2.800000,1.900000
led16,-19.407934,35.735581,2.550000,3.500000,2.800000,1.900000
led2,28.598150,-36.425982,2.550000,3.500000,2.800000,1.900000
led3,20.597136,-36.425982,2.550000,3.500000,2.800000,1.900000
led4,12.596122,-36.425982,2.550000,3.500000,2.800000,1.900000
led5,4.595108,-36.425982,2.550000,3.500000,2.800000,1.900000
led6,-3.405906,-36.425982,2.550000,3.500000,2.800000,1.900000
led7,-11.406920,-36.425982,2.550000,3.500000,2.800000,1.900000
led8,-19.407934,-36.425982,2.550000,3.500000,2.800000,1.900000
led9,36.599164,35.735581,2.550000,3.500000,2.800000,1.900000
PCB_Pot,-33.454159,2.410704,8.100000,10.000000,12.000000,13.000000
PortA,-53.550000,20.050000,7.900000,18.400000,31.000000,12.600000
PortB,-53.550000,-19.950000,7.900000,18.400000,31.000000,12.600000
Power,-36.163009,52.816761,6.600000,10.201326,8.366479,10.000000
slide1,-11.826021,24.381743,3.350000,13.500000,5.800000,11.500000
slide2,-12.151179,14.283965,3.350000,13.500000,5.800000,11.500000
sw1,36.599164,-46.585982,5.300000,6.200000,9.000000,7.400000
sw10,28.598150,45.895581,5.300000,6.200000,9.000000,7.400000
sw11,20.597136,45.895581,5.300000,6.200000,9.000000,7.400000
sw12,12.596122,45.895581,5.300000,6.200000,9.000000,7.400000
sw13,4.595108,45.895581,5.300000,6.200000,9.000000,7.400000
sw14,-3.405906,45.895581,5.300000,6.200000,9.000000,7.400000
sw15,-11.406920,45.895581,5.300000,6.200000,9.000000,7.400000
sw16,-19.407934,45.895581,5.300000,6.200000,9.000000,7.400000
sw2,28.598150,-46.585982,5.300000,6.200000,9.000000,7.400000
sw3,20.597136,-46.585982,5.300000,6.200000,9.000000,7.400000
sw4,12.596122,-46.585982,5.300000,6.200000,9.000000,7.400000
sw5,4.595108,-46.585982,5.300000,6.200000,9.000000,7.400000
sw6,-3.405906,-46.585982,5.300000,6.200000,9.000000,7.400000
sw7,-11.406920,-46.585982,5.300000,6.200000,9.000000,7.400000
sw8,-19.407934,-46.585982,5.300000,6.200000,9.000000,7.400000
sw9,36.599164,45.895581,5.300000,6.200000,9.000000,7.400000
TEPT5700,-33.885959,29.560952,4.300000,5.700000,5.400000,11.400000
Trimmer,-33.885959,-14.684723,4.000000,9.500000,9.600805,16.000000
