Model:FF 001

Component,Xpos,Ypos,Zpos,Xdim,Ydim,Zdim
Big_Chip,-0.050000,-0.000000,47.350000,50.140000,15.540000,6.500000
Body,0.000000,-0.000000,17.500000,102.000000,58.000000,32.000000
E-Connect,46.050000,-26.500000,48.400000,18.400000,31.000000,12.600000
Flanges,-5.519100,-0.000000,6.000000,119.438200,78.000000,3.000000
Front PCB,-51.160626,0.000000,8.250000,28.155147,78.000000,1.500000
IR CB,-60.250000,3.000000,37.500000,10.000000,6.000000,6.000000
IR_CT,-60.250000,3.000000,45.100000,10.000000,6.000000,6.000000
IR_LB,-57.750000,-25.500000,37.500000,6.000000,10.000000,6.000000
IR_LT,-57.750000,-25.500000,45.100000,6.000000,10.000000,6.000000
IR_RB,-57.750000,25.500000,37.500000,6.000000,10.000000,6.000000
IR_RT,-57.750000,25.500000,45.100000,6.000000,10.000000,6.000000
LED1,-42.278932,-22.750000,43.050000,3.500000,2.800000,1.900000
LED2,-42.278932,-16.250000,43.050000,3.500000,2.800000,1.900000
LED3,-42.278932,-9.750000,43.050000,3.500000,2.800000,1.900000
LED4,-42.278932,-3.250000,43.050000,3.500000,2.800000,1.900000
LED5,-42.278932,3.250000,43.050000,3.500000,2.800000,1.900000
LED6,-42.278932,9.750000,43.050000,3.500000,2.800000,1.900000
LED7,-42.278932,16.250000,43.050000,3.500000,2.800000,1.900000
LED8,-42.278932,22.750000,43.050000,3.500000,2.800000,1.900000
LED9,35.900000,-0.000000,43.050000,3.500000,2.800000,1.900000
LF_LF,-61.238200,-9.000000,6.250000,6.000000,6.000000,7.500000
LF_LR,-54.238200,-9.000000,6.250000,6.000000,6.000000,7.500000
LF_RF,-61.238200,9.000000,6.250000,6.000000,6.000000,7.500000
LF_RR,-54.238200,9.000000,6.250000,6.000000,6.000000,7.500000
Light Sensor,-61.450000,-3.000000,44.350000,4.200000,5.000000,4.500000
Pillar1,29.250000,16.000000,37.000000,7.000000,7.000000,7.000000
Pillar2,29.250000,-16.000000,37.000000,7.000000,7.000000,7.000000
Pillar3,-29.250000,-16.000000,37.000000,7.000000,7.000000,7.000000
Pillar4,-29.250000,16.000000,37.000000,7.000000,7.000000,7.000000
Power,48.066761,22.899337,47.100000,8.366479,10.201326,10.000000
Reset,33.000000,-6.200000,45.800000,9.000000,6.200000,7.400000
screw1,-29.250000,-16.000000,43.345000,5.700000,5.700000,2.490000
screw2,-29.250000,16.000000,43.345000,5.700000,5.700000,2.490000
screw3,29.250000,-16.000000,43.345000,5.700000,5.700000,2.490000
screw4,29.250000,16.000000,43.345000,5.700000,5.700000,2.490000
Slider,45.500000,30.900000,42.250000,13.500000,5.800000,14.700000
Small_Chip,2.100000,27.700000,47.350000,19.660000,7.920000,6.500000
SW1,-39.178932,-36.000000,45.800000,9.000000,6.200000,7.400000
SW2,-39.178932,36.000000,45.800000,9.000000,6.200000,7.400000
Top PCB,-5.500000,-0.000000,44.925000,117.500000,84.000000,8.850000
USB_Conn,47.750000,-0.000000,47.550000,16.200000,12.200000,10.900000
Volume,-29.250000,-33.366152,50.725000,9.800000,10.560000,17.250000
Wheel_L,0.000000,-32.850000,15.000000,30.000000,16.700000,30.000000
Wheel_R,0.000000,32.850000,15.000000,30.000000,16.700000,30.000000
