Model:FF 001,,,,,,
,,,,,,
Component,Xpos,Ypos,Zpos,Xdim,Ydim,Zdim
Body,0.00,0.00,17.50,102.00,58.00,32.00
Flanges,-5.52,0.00,6.00,119.44,78.00,3.00
Front PCB,-51.16,0.00,8.25,28.16,78.00,1.50
IR CB,-60.25,0.00,37.50,10.00,6.00,6.00
IR_CT,-60.25,0.00,45.10,10.00,6.00,6.00
IR_LB,-57.75,-25.50,37.50,6.00,10.00,6.00
IR_LT,-57.75,-25.50,45.10,6.00,10.00,6.00
IR_RB,-57.75,25.50,37.50,6.00,10.00,6.00
IR_RT,-57.75,25.50,45.10,6.00,10.00,6.00
LED1,-42.28,-22.75,43.05,3.50,2.80,1.90
LED2,-42.28,-16.25,43.05,3.50,2.80,1.90
LED3,-42.28,-9.75,43.05,3.50,2.80,1.90
LED4,-42.28,-3.25,43.05,3.50,2.80,1.90
LED5,-42.28,3.25,43.05,3.50,2.80,1.90
LED6,-42.28,9.75,43.05,3.50,2.80,1.90
LED7,-42.28,16.25,43.05,3.50,2.80,1.90
LED8,-42.28,22.75,43.05,3.50,2.80,1.90
LF_LF,-61.24,-9.00,6.25,6.00,6.00,7.50
LF_LR,-54.24,-9.00,6.25,6.00,6.00,7.50
LF_RF,-61.24,9.00,6.25,6.00,6.00,7.50
LF_RR,-54.24,9.00,6.25,6.00,6.00,7.50
Pillar1,29.25,16.00,37.00,7.00,7.00,7.00
Pillar2,29.25,-16.00,37.00,7.00,7.00,7.00
Pillar3,-29.25,-16.00,37.00,7.00,7.00,7.00
Pillar4,-29.25,16.00,37.00,7.00,7.00,7.00
SW1,-39.18,-36.00,45.80,9.00,6.20,7.40
SW2,-39.18,36.00,45.80,9.00,6.20,7.40
Top PCB,-5.50,0.00,41.30,117.50,84.00,1.60
Wheel_L,0.00,-32.85,15.00,30.00,16.70,30.00
Wheel_R,0.00,32.85,15.00,30.00,16.70,30.00
