Model:keypad_3by4

Component,Xpos,Ypos,Zpos,Xdim,Ydim,Zdim
base,-0.000000,0.000000,1.500000,51.000000,64.000000,3.000000
faceplate,-0.000000,0.000000,5.450000,46.000000,57.000000,4.900000
key1,-14.000000,6.500000,9.100000,8.700000,7.700000,2.400000
key1,14.000000,-19.500000,9.100000,8.700000,7.700000,2.400000
key1,0.000000,19.500000,9.100000,8.700000,7.700000,2.400000
key1,14.000000,19.500000,9.100000,8.700000,7.700000,2.400000
key1,-14.000000,19.500000,9.100000,8.700000,7.700000,2.400000
key1,0.000000,6.500000,9.100000,8.700000,7.700000,2.400000
key1,14.000000,6.500000,9.100000,8.700000,7.700000,2.400000
key1,-14.000000,-6.500000,9.100000,8.700000,7.700000,2.400000
key1,0.000000,-6.500000,9.100000,8.700000,7.700000,2.400000
key1,14.000000,-6.500000,9.100000,8.700000,7.700000,2.400000
key1,-14.000000,-19.500000,9.100000,8.700000,7.700000,2.400000
key1,0.000000,-19.500000,9.100000,8.700000,7.700000,2.400000
label0,-0.000000,-19.500000,10.100000,6.600000,5.600000,0.000000
label1,-14.000000,19.500000,10.100000,6.600000,5.600000,0.000000
label2,-0.000000,19.500000,10.100000,6.600000,5.600000,0.000000
label3,14.000000,19.500000,10.100000,6.600000,5.600000,0.000000
label4,-14.000000,6.500000,10.100000,6.600000,5.600000,0.000000
label5,-0.000000,6.500000,10.100000,6.600000,5.600000,0.000000
label6,14.000000,6.500000,10.100000,6.600000,5.600000,0.000000
label7,-14.000000,-6.500000,10.100000,6.600000,5.600000,0.000000
label8,-0.000000,-6.500000,10.100000,6.600000,5.600000,0.000000
label9,14.000000,-6.500000,10.100000,6.600000,5.600000,0.000000
labelhash,14.000000,-19.500000,10.100000,6.600000,5.600000,0.000000
labelstar,-14.000000,-19.500000,10.100000,6.600000,5.600000,0.000000
PCB,-0.000000,-34.625000,1.000000,37.000000,5.250000,2.000000
