Model:EB057 gLCD

Component,Xpos,Ypos,Zpos,Xdim,Ydim,Zdim
CapBL,-22.300000,-14.900000,-2.725000,4.200000,4.200000,5.750000
CapTL,-22.300000,12.400000,-2.725000,4.200000,4.200000,5.750000
Header1,-19.880000,-1.250000,-8.375000,2.540000,20.320000,2.350000
Header2,19.880000,-1.250000,-8.375000,2.540000,20.320000,2.350000
HeaderL,-19.880000,-1.250000,-10.025000,0.600000,18.380000,11.650000
HeaderR,19.880000,-1.250000,-10.025000,0.600000,18.380000,11.650000
LED,22.300000,12.400000,-4.650000,3.500000,2.800000,1.900000
PCB,-0.000000,-1.250000,-6.400000,53.500000,36.100000,1.600000
Ribbon,-0.000000,-17.281250,-3.137500,27.600000,3.962500,4.925000
Screen,-0.000000,-0.000000,-0.800000,33.600000,33.600000,1.600000
SupportBL,-11.800000,-11.800000,-3.600000,4.000000,4.000000,4.000000
SupportBR,11.800000,-11.800000,-3.600000,4.000000,4.000000,4.000000
SupportTL,-11.800000,11.800000,-3.600000,4.000000,4.000000,4.000000
SupportTR,11.800000,11.800000,-3.600000,4.000000,4.000000,4.000000
Thingy,22.300000,-14.900000,-4.475000,5.800000,2.800000,2.250000
