Model:EB075

Component,Xpos,Ypos,Zpos,Xdim,Ydim,Zdim
ear1,19.650000,13.650000,-4.400000,5.700000,6.300000,1.600000
ear2,19.650000,-13.650000,-4.400000,5.700000,6.300000,1.600000
ear3,-19.650000,13.650000,-4.400000,5.700000,6.300000,1.600000
ear4,-19.650000,-13.650000,-4.400000,5.700000,6.300000,1.600000
Header1,-9.650000,-14.730000,-6.375000,12.700000,2.540000,2.350000
HeaderL,-9.650000,-14.730000,-8.025000,10.760000,0.600000,11.650000
PCB,0.000000,-0.000000,-4.400000,33.600000,33.600000,1.600000
Ribbon,0.000000,14.688877,-2.987500,27.600000,9.147246,4.925000
Screen,0.000000,-0.000000,-0.800000,33.600000,33.600000,1.600000
SD_socket,9.000000,-8.325000,-6.200000,14.000000,15.350000,2.000000
Sticky,0.000000,-0.000000,-2.600000,27.600000,27.600000,2.000000
