Model:EB076 Touchscreen

Component,Xpos,Ypos,Zpos,Xdim,Ydim,Zdim
Card_Socket,19.450000,26.925000,-6.500000,14.000000,15.350000,2.000000
Ear1,30.050000,-38.750000,-4.700000,5.700000,6.300000,1.600000
Ear2,30.050000,32.450000,-4.700000,5.700000,6.300000,1.600000
Ear3,-30.050000,-38.750000,-4.700000,5.700000,6.300000,1.600000
Ear4,-30.050000,32.450000,-4.700000,5.700000,6.300000,1.600000
Header1,-0.000000,-32.200000,-8.485000,23.660000,5.500000,5.970000
Header2,-0.000000,-3.930000,-8.485000,23.660000,5.500000,5.970000
plug,21.555000,-27.050000,-6.770000,10.290000,12.700000,2.540000
Screen,-0.000000,-3.150000,-2.750000,54.400000,77.500000,5.500000
Speaker,-18.200000,26.600000,-7.500000,17.250000,17.250000,4.000000
